event_url,event_name,cancelled,series_event,listing_date_text,start_date,end_date,listing_year,competition_group_raw,competition_group,team_count,division,gender_raw,gender,schedule_url
https://play.usaultimate.org/events/Southeast-Mens-Regional-Championship-2018,Southeast Men's Regional Championship,False,True,"Sep 22, 2018 - Sep 23, 2018",2018-09-22,2018-09-23,2018,Club - Men [16],Club - Men,16,Club,Men,Men,https://play.usaultimate.org/events/Southeast-Mens-Regional-Championship-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Southeast-Mixed-Regional-Championship-2018,Southeast Mixed Regional Championship,False,True,"Sep 22, 2018 - Sep 23, 2018",2018-09-22,2018-09-23,2018,Club - Mixed [16],Club - Mixed,16,Club,Mixed,Mixed,https://play.usaultimate.org/events/Southeast-Mixed-Regional-Championship-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Southeast-Womens-Regional-Championship-2018,Southeast Women's Regional Championship,False,True,"Sep 22, 2018 - Sep 23, 2018",2018-09-22,2018-09-23,2018,Club - Women [9],Club - Women,9,Club,Women,Women,https://play.usaultimate.org/events/Southeast-Womens-Regional-Championship-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/Southwest-College-Mixed-Regional-2018,Southwest College Mixed Regional Championship,False,True,"Nov 17, 2018 - Nov 18, 2018",2018-11-17,2018-11-18,2018,College - Mixed [4],College - Mixed,4,College,Mixed,Mixed,https://play.usaultimate.org/events/Southwest-College-Mixed-Regional-2018/schedule/mixed/CollegeMixed/
https://play.usaultimate.org/events/Southwest-Mens-Regional-Championship-2018,Southwest Men's Regional Championship,False,True,"Sep 22, 2018 - Sep 23, 2018",2018-09-22,2018-09-23,2018,Club - Men [8],Club - Men,8,Club,Men,Men,https://play.usaultimate.org/events/Southwest-Mens-Regional-Championship-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Southwest-Mixed-Regional-Championship-2018,Southwest Mixed Regional Championship,False,True,"Sep 22, 2018 - Sep 23, 2018",2018-09-22,2018-09-23,2018,Club - Mixed [16],Club - Mixed,16,Club,Mixed,Mixed,https://play.usaultimate.org/events/Southwest-Mixed-Regional-Championship-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Southwest-Womens-Regional-Championship-2018,Southwest Women's Regional Championship,False,True,"Sep 22, 2018 - Sep 23, 2018",2018-09-22,2018-09-23,2018,Club - Women [9],Club - Women,9,Club,Women,Women,https://play.usaultimate.org/events/Southwest-Womens-Regional-Championship-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/Spirit-of-the-Plains-2018-,Spirit of the Plains 2018,False,False,"Jun 30, 2018 - Jul 01, 2018",2018-06-30,2018-07-01,2018,Club - Women [2],Club - Women,2,Club,Women,Women,https://play.usaultimate.org/events/Spirit-of-the-Plains-2018-/schedule/women/Club-Women/
https://play.usaultimate.org/events/Spirit-of-the-Plains-2018-,Spirit of the Plains 2018,False,False,"Jun 30, 2018 - Jul 01, 2018",2018-06-30,2018-07-01,2018,Club - Men [11],Club - Men,11,Club,Men,Men,https://play.usaultimate.org/events/Spirit-of-the-Plains-2018-/schedule/men/Club-Men/
https://play.usaultimate.org/events/Spirit-of-the-Plains-2018-,Spirit of the Plains 2018,False,False,"Jun 30, 2018 - Jul 01, 2018",2018-06-30,2018-07-01,2018,Club - Mixed [12],Club - Mixed,12,Club,Mixed,Mixed,https://play.usaultimate.org/events/Spirit-of-the-Plains-2018-/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/SunRise-Open-2018,SunRise Open 2018,False,False,"Jul 21, 2018 - Jul 22, 2018",2018-07-21,2018-07-22,2018,Club - Mixed [13],Club - Mixed,13,Club,Mixed,Mixed,https://play.usaultimate.org/events/SunRise-Open-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Swan-Boat-2018,Swan Boat 2018,False,False,"Jul 07, 2018 - Jul 08, 2018",2018-07-07,2018-07-08,2018,Club - Mixed [5],Club - Mixed,5,Club,Mixed,Mixed,https://play.usaultimate.org/events/Swan-Boat-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Swan-Boat-2018,Swan Boat 2018,False,False,"Jul 07, 2018 - Jul 08, 2018",2018-07-07,2018-07-08,2018,Club - Men [10],Club - Men,10,Club,Men,Men,https://play.usaultimate.org/events/Swan-Boat-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2018,TCT Elite-Select Challenge 2018,False,False,"Aug 18, 2018 - Aug 19, 2018",2018-08-18,2018-08-19,2018,Club - Men [16],Club - Men,16,Club,Men,Men,https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2018,TCT Elite-Select Challenge 2018,False,False,"Aug 18, 2018 - Aug 19, 2018",2018-08-18,2018-08-19,2018,Club - Mixed [16],Club - Mixed,16,Club,Mixed,Mixed,https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2018,TCT Elite-Select Challenge 2018,False,False,"Aug 18, 2018 - Aug 19, 2018",2018-08-18,2018-08-19,2018,Club - Women [16],Club - Women,16,Club,Women,Women,https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/TCT-Pro-Championships-2018,TCT Pro Championships 2018,False,False,"Sep 01, 2018 - Sep 03, 2018",2018-09-01,2018-09-03,2018,Club - Men [10],Club - Men,10,Club,Men,Men,https://play.usaultimate.org/events/TCT-Pro-Championships-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/TCT-Pro-Championships-2018,TCT Pro Championships 2018,False,False,"Sep 01, 2018 - Sep 03, 2018",2018-09-01,2018-09-03,2018,Club - Mixed [10],Club - Mixed,10,Club,Mixed,Mixed,https://play.usaultimate.org/events/TCT-Pro-Championships-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/TCT-Pro-Championships-2018,TCT Pro Championships 2018,False,False,"Sep 01, 2018 - Sep 03, 2018",2018-09-01,2018-09-03,2018,Club - Women [10],Club - Women,10,Club,Women,Women,https://play.usaultimate.org/events/TCT-Pro-Championships-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2018,TCT Pro-Elite Challenge (Colorado Cup) 2018,False,False,"Jul 07, 2018 - Jul 08, 2018",2018-07-07,2018-07-08,2018,Club - Men [16],Club - Men,16,Club,Men,Men,https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2018,TCT Pro-Elite Challenge (Colorado Cup) 2018,False,False,"Jul 07, 2018 - Jul 08, 2018",2018-07-07,2018-07-08,2018,Club - Mixed [16],Club - Mixed,16,Club,Mixed,Mixed,https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2018,TCT Pro-Elite Challenge (Colorado Cup) 2018,False,False,"Jul 07, 2018 - Jul 08, 2018",2018-07-07,2018-07-08,2018,Club - Women [16],Club - Women,16,Club,Women,Women,https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2018,TCT Select Flight Invite 2018,False,False,"Jul 28, 2018 - Jul 29, 2018",2018-07-28,2018-07-29,2018,Club - Men [15],Club - Men,15,Club,Men,Men,https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2018,TCT Select Flight Invite 2018,False,False,"Jul 28, 2018 - Jul 29, 2018",2018-07-28,2018-07-29,2018,Club - Women [15],Club - Women,15,Club,Women,Women,https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2018,TCT Select Flight Invite 2018,False,False,"Jul 28, 2018 - Jul 29, 2018",2018-07-28,2018-07-29,2018,Club - Mixed [16],Club - Mixed,16,Club,Mixed,Mixed,https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Texas-Mens-Sectional-Championship-2018,Texas Men's Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Men [14],Club - Men,14,Club,Men,Men,https://play.usaultimate.org/events/Texas-Mens-Sectional-Championship-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Texas-Mixed-Sectional-Championship-2018,Texas Mixed Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Mixed [17],Club - Mixed,17,Club,Mixed,Mixed,https://play.usaultimate.org/events/Texas-Mixed-Sectional-Championship-2018/schedule/mixed/Club-Mixed/
